4	 	 	9	3	0	 	F	 	 	 	 	 	8	 	 
3	 	 	 	2	 	 	6	1	 	 	 	 	A	 	 
 	 	F	 	 	 	 	 	 	 	2	7	 	 	 	 
A	 	1	 	 	 	C	 	E	D	 	 	9	 	 	3
5	 	B	 	6	 	E	 	 	 	 	 	 	 	 	8
 	 	2	 	9	A	7	 	 	 	 	8	D	 	 	B
9	 	A	3	C	B	 	 	 	6	 	1	 	 	 	 
 	D	 	 	0	F	 	 	 	 	 	9	E	 	3	A
2	 	 	5	7	C	 	0	 	8	 	 	 	9	 	 
 	4	 	 	 	3	9	2	 	0	7	 	 	 	6	C
6	 	 	 	 	 	1	 	5	 	 	4	 	 	 	0
 	3	 	 	8	D	 	 	F	 	 	 	 	5	1	 
0	 	9	A	E	 	 	 	 	F	 	 	C	 	5	 
 	 	8	 	 	 	 	 	A	 	0	E	4	B	2	1
 	 	 	 	 	2	5	 	 	 	9	 	7	 	 	 
 	7	 	 	 	 	 	 	6	 	 	 	 	3	 	 
